acre,ˈeɪkər,<ul><li><a>acre</a></li></ul>,"<img src=""01_1201.jpg"">",[sound:01_1201.mp3],[sound:01_1201_meaning.mp3],[sound:01_1201_example.mp3],An <i>acre</i> is a unit for measuring area.,Un <i>acre</i> es una unidad para medir áreas.,They lived on a 150-<b>acre</b> farm.,Ellos vivían en una granja de 150 <b>acres</b>.
afterlife,ˈæftərlaɪf,<ul><li>vida después de la muerte</li><li>vida del más allá</li><li>vida de ultratumba</li><li>otra vida</li><li>vida eterna</li><li>más allá</li></ul>,"<img src=""01_1202.jpg"" />",[sound:01_1202.mp3],[sound:01_1202_meaning.mp3],[sound:01_1202_example.mp3],The <i>afterlife</i> is a life that some people believe begins when a person dies.,El <i>más allá</i> es una vida que algunas personas creen que comienza cuando una persona muere.,I believe that there is an <b>afterlife</b>.,Yo creo que hay un <b>más allá</b>.
archaeology,ˌɑːrkiˈɑːlədʒi,<ul><li><a>arqueología</a></li></ul>,"<img src=""01_1203.jpg"" />",[sound:01_1203.mp3],[sound:01_1203_meaning.mp3],[sound:01_1203_example.mp3],<i>Archaeology</i> is the study of the remains left by ancient societies.,La <i>arqueología</i> es el estudio de los restos dejados por sociedades antiguas.,He enjoyed visiting the Great Pyramids of Egypt because he loves <b>archaeology</b>.,Disfrutó visitar las Grandes Pirámides de Egipto porque ama la <b>arqueología</b>.
chamber,ˈtʃeɪmbər,<ul><li><a>cámara</a><br></li><li><a></a><a>compartimiento</a><br></li><li><a></a><a></a><a>aposento</a><br></li><li><a></a><a></a><a>recámara</a><br></li><li><a></a><a></a><a>sala</a><br></li></ul>,"<img src=""01_1204.jpg"" />",[sound:01_1204.mp3],[sound:01_1204_meaning.mp3],[sound:01_1204_example.mp3],A <i>chamber</i> is a closed space or room used for a special purpose.,Una <i>cámara</i> es un espacio cerrado o habitación utilizada para un propósito especial.,The meeting was held in the faculty <b>chamber</b>.,La reunión se celebró en la <b>cámara</b> de la facultad.
channel,ˈtʃænl,<ul><li>canal</li><li>cauce</li><li>emisora</li><li>vía</li><li>estrecho</li><li>conducto</li><li>medio</li><li>canalizar</li><li>encauzar</li><li>acanalar</li><li>dirigir</li><li>conducir</li></ul>,"<img src=""01_1205.jpg"" />",[sound:01_1205.mp3],[sound:01_1205_meaning.mp3],[sound:01_1205_example.mp3],"A <i>channel</i> is a long, deep space between two edges.",Un <i>canal</i> es un espacio largo y profundo entre dos bordes.,The river cut a <b>channel</b> through the rocks.,El río cortó un <b>canal</b> entre las rocas.
core,kɔːr,<ul><li>núcleo</li><li>base</li><li>centro</li><li>corazón</li><li>fondo</li><li>alma</li><li>médula<br></li><li>entrañas</li><li>tuétano</li><li>quid</li><li>principal</li><li>central</li><li>fundamental</li><li>esencial</li><li>nuclear</li><li>primordial</li><li>verdadero</li><li>deshuesar</li></ul>,"<img src=""01_1206.jpg"" />",[sound:01_1206.mp3],[sound:01_1206_meaning.mp3],[sound:01_1206_example.mp3],A <i>core</i> is the main or central part of something.,El <i>núcleo</i> es la parte principal o central de algo.,Earth has a solid inner <b>core</b>.,La Tierra tiene un <b>núcleo</b> interior sólido.
corridor,ˈkɔːrɪdɔːr,<ul><li>corredor</li><li>pasillo</li><li>ruta</li></ul>,"<img src=""01_1207.jpg"" />",[sound:01_1207.mp3],[sound:01_1207_meaning.mp3],[sound:01_1207_example.mp3],A <i>corridor</i> is a narrow passage that leads into other areas.,Un <i>pasillo</i> es un pasaje estrecho que conduce a otras áreas.,He took the <b>corridor</b> on the left to go to his office.,Tomó el <b>pasillo</b> a la izquierda para ir a su oficina.
distinct,dɪˈstɪŋkt,<ul><li>distinto</li><li>inconfundible</li><li>claro</li><li>separado</li><li>diferente</li><li>distintivo</li><li>diferenciados</li><li>marcado</li><li>definido</li><li>evidente</li><li>perceptible</li><li>diferenciado</li><li>nítido</li><li>preciso</li><li>específica</li><li>acentuado</li><li>obvio</li></ul>,"<img src=""01_1208.jpg"" />",[sound:01_1208.mp3],[sound:01_1208_meaning.mp3],[sound:01_1208_example.mp3],A <i>distinct</i> thing is different or stands out.,Algo <i>distinto</i> es diferente o se destaca.,He has a <b>distinct</b> accent.,Él tiene un acento <b>distinto</b>.
elite,ɪˈliːt,<ul><li><a>élite<br></a></li><li><a>selecto</a></li></ul>,"<img src=""01_1209.jpg"" />",[sound:01_1209.mp3],[sound:01_1209_meaning.mp3],[sound:01_1209_example.mp3],<i>Elite</i> means of or from a high-level group.,<i>Élite</i> significa de o proveniente de un grupo de alto nivel.,Only an <b>elite</b> group was allowed membership into the club.,Solo un grupo <b>élite</b> tenía permitido ser miembro del club.
engineer,ˌendʒɪˈnɪr,<ul><li><a>ingeniero</a><br></li><li><a></a><a>mecánico</a><br></li><li><a></a><a></a><a>técnica</a><br></li><li><a></a><a></a><a>ingeniera</a><br></li><li><a></a><a></a><a>diseñar</a><br></li><li><a></a><a></a><a>organizar</a><br></li><li><a></a><a></a><a>maquinar</a><br></li><li><a></a><a>lograr</a><br></li><li><a></a><a>gestionar</a><br></li></ul>,"<img src=""01_1210.jpg"" />",[sound:01_1210.mp3],[sound:01_1210_meaning.mp3],[sound:01_1210_example.mp3],To <i>engineer</i> something is to skillfully plan out how to make that thing.,<i>Ingeniar</i> algo es planear hábilmente cómo hacer esa cosa.,"After <b>engineering</b> the robot, they needed to find the correct parts to build it.","Después de <b>ingeniar</b> el robot, necesitaban encontrar las partes correctas para construirlo."
