aroma,əˈrəʊmə,<ul><li>aroma<br></li><li>olor</li><li>fragancia</li><li>perfume</li></ul>,"<img src=""01_2401.jpg"" />",[sound:01_2401.mp3],[sound:01_2401_meaning.mp3],[sound:01_2401_example.mp3],An <i>aroma</i> is a scent or smell.,Un <i>aroma</i> es un olor o fragancia.,I love the <b>aroma</b> of coffee in the morning.,Me encanta el <b>aroma</b> del café por la mañana.
beverage,ˈbevərɪdʒ,<ul><li>bebida</li><li>brebaje</li></ul>,"<img src=""01_2402.jpg"" />",[sound:01_2402.mp3],[sound:01_2402_meaning.mp3],[sound:01_2402_example.mp3],A <i>beverage</i> is a drink.,Una <i>bebida</i> es una bebida.,The waiter brought our <b>beverages</b> first. Then he brought our food.,El camarero trajo primero nuestras <b>bebidas</b>. Luego trajo nuestra comida.
cluster,ˈklʌstər,<ul><li>racimo</li><li>grupo</li><li>clúster</li><li>cúmulo</li><li>agrupación</li><li>conglomerado</li><li>mata</li><li>conjunto</li><li>área</li><li>núcleo</li><li>módulo</li><li>categoría</li><li>concentración</li><li>ramillete</li><li>serie</li><li>agrupar</li><li>agruparse</li><li>arracimarse</li></ul>,"<img src=""01_2403.jpg"" />",[sound:01_2403.mp3],[sound:01_2403_meaning.mp3],[sound:01_2403_example.mp3],A <i>cluster</i> of things is a small group of them placed close together.,Un <i>racimo</i> de cosas es un pequeño grupo de ellas colocadas juntas.,She held a large <b>cluster</b> of grapes in her hand.,Ella sostenía un gran <b>racimo</b> de uvas en su mano.
combine,kəmˈbaɪn,<ul><li>combinar</li><li>unir</li><li>compaginar</li><li>combinarse</li><li>mezclar</li><li>juntar</li><li>aunar</li><li>unirse</li><li>integrar</li><li>reunir</li><li>agrupar</li><li>fusionar</li><li>consolidar</li><li>poseer</li><li>cosechadora</li><li>asociación</li><li>grupo</li></ul>,"<img src=""01_2404.jpg"" />",[sound:01_2404.mp3],[sound:01_2404_meaning.mp3],[sound:01_2404_example.mp3],To <i>combine</i> is to join together to make a single thing or group.,<i>Combinar</i> es unir cosas para formar un solo grupo o cosa.,Mina <b>combined</b> peanut butter and jelly to make a sandwich.,Mina <b>combinó</b> mantequilla de maní y mermelada para hacer un sándwich.
condensed,kəndénst,<ul><li>condensada</li><li>condensado</li><li>abreviado</li><li>resumido</li><li>sintetizado</li><li>concentrado</li><li>recogido</li><li>conciso</li></ul>,"<img src=""01_2405.jpg"" />",[sound:01_2405.mp3],[sound:01_2405_meaning.mp3],[sound:01_2405_example.mp3],"When a liquid is <i>condensed</i>, it is made thicker.","Cuando un líquido se <i>condensa</i>, se vuelve más espeso.",One way to make a dessert thick and sweet is to use <b>condensed</b> milk.,Una forma de hacer un postre espeso y dulce es usar leche <b>condensada</b>.
contemporary,kənˈtempəreri,<ul><li>contemporáneo</li><li>moderno</li><li>actual</li><li>presente</li><li>de actualidad</li><li>coetáneo</li><li>de hoy en día</li></ul>,"<img src=""01_2406.jpg"" />",[sound:01_2406.mp3],[sound:01_2406_meaning.mp3],[sound:01_2406_example.mp3],"When something is <i>contemporary</i>, it is related to the present time.","Cuando algo es <i>contemporáneo</i>, está relacionado con el tiempo presente.",<b>Contemporary</b> scientists have learned quite a bit about DNA.,Los científicos <b>contemporáneos</b> han aprendido mucho sobre el ADN.
cultivate,ˈkʌltɪveɪt,<ul><li>cultivar</li><li>fomentar</li><li>promover</li></ul>,"<img src=""01_2407.jpg"" />",[sound:01_2407.mp3],[sound:01_2407_meaning.mp3],[sound:01_2407_example.mp3],To <i>cultivate</i> plants is to care for them and help them grow.,<i>Cultivar</i> plantas es cuidarlas y ayudarlas a crecer.,A research company is <b>cultivating</b> new kinds of rice to aid poor countries.,Una empresa de investigación está <b>cultivando</b> nuevos tipos de arroz para ayudar a los países pobres.
divine,dɪˈvaɪn,<ul><li>divino</li><li>sublime</li><li>sagrado</li><li>maravilloso</li><li>estupendo</li><li>adivinar</li></ul>,"<img src=""01_2408.jpg"" />",[sound:01_2408.mp3],[sound:01_2408_meaning.mp3],[sound:01_2408_example.mp3],"When something is <i>divine</i>, it is related to gods.","Cuando algo es <i>divino</i>, está relacionado con los dioses.",Legends say that music was given to humans as a <b>divine</b> gift from the gods.,Las leyendas dicen que la música fue dada a los humanos como un regalo <b>divino</b> de los dioses.
humid,ˈhjuːmɪd,<ul><li><a>húmedo</a></li></ul>,"<img src=""01_2409.jpg"" />",[sound:01_2409.mp3],[sound:01_2409_meaning.mp3],[sound:01_2409_example.mp3],"When it is <i>humid</i>, there is a lot of water in the air.","Cuando está <i>húmedo</i>, hay mucha agua en el aire.",It is very <b>humid</b> inside a sauna.,Está muy <b>húmedo</b> dentro de una sauna.
odor,óudər,<ul><li>olor</li><li><a>hedor</a></li></ul>,"<img src=""01_2410.jpg"" />",[sound:01_2410.mp3],[sound:01_2410_meaning.mp3],[sound:01_2410_example.mp3],An <i>odor</i> is a very distinct smell.,Un <i>olor</i> es un aroma muy distintivo.,He knew there was a leak when he noticed the strong <b>odor</b> of natural gas.,Supo que había una fuga cuando notó el fuerte <b>olor</b> a gas natural.
